State,Temperature_Above_Avg,High_Rainfall,High_Humidity,Insecticide_Use,Health_Facilities_Adequate,Vaccination_Rate_High,High_Population_Density,Mosquito_Net_Coverage_High,Malaria_Outbreak,Malaria_diagnosis
Himachal Pradesh,36.5,416.6,70,87.9,84.9,10.2,890,46.1,19.1,The person is not affected with Malaria 😊
Himachal Pradesh,37.2,327.4,50,82.5,29.6,54.9,187,77.4,57.4,The person is affected with Malaria 😷
Himachal Pradesh,22.9,329.5,66,48.5,16.7,57.4,828,84.4,86.2,The person is not affected with Malaria 😊
Himachal Pradesh,33.8,97.5,64,4.0,3.4,39.5,569,17.8,59.8,The person is not affected with Malaria 😊
Himachal Pradesh,20.8,75.4,41,63.7,56.2,63.5,1767,73.1,14.7,The person is affected with Malaria 😷
Himachal Pradesh,35.7,165.5,93,34.5,4.1,78.5,1548,34.0,89.3,The person is not affected with Malaria 😊
Himachal Pradesh,38.8,374.6,95,24.8,5.0,27.1,1178,86.1,27.5,The person is affected with Malaria 😷
Himachal Pradesh,24.1,439.1,64,23.3,40.8,46.4,875,11.2,56.9,The person is affected with Malaria 😷
Himachal Pradesh,27.1,61.7,98,10.1,13.6,29.2,860,85.7,29.5,The person is not affected with Malaria 😊
Himachal Pradesh,38.5,455.6,45,64.1,2.4,68.3,1373,91.2,7.7,The person is affected with Malaria 😷
Himachal Pradesh,22.3,206.8,96,57.3,21.0,26.9,1083,11.6,7.8,The person is affected with Malaria 😷
Himachal Pradesh,35.6,106.5,63,4.3,74.7,48.7,1616,16.7,70.2,The person is affected with Malaria 😷
Himachal Pradesh,22.4,118.7,55,60.2,23.5,24.3,1222,29.6,95.2,The person is not affected with Malaria 😊
Himachal Pradesh,37.4,79.6,71,81.3,44.9,9.6,1782,97.0,99.8,The person is not affected with Malaria 😊
Himachal Pradesh,23.9,308.3,51,65.0,6.3,87.3,684,27.8,24.6,The person is not affected with Malaria 😊
Himachal Pradesh,21.9,429.2,79,40.3,49.9,35.1,1585,60.1,89.1,The person is affected with Malaria 😷
Himachal Pradesh,36.2,299.3,94,61.2,80.6,79.7,1442,18.2,20.4,The person is not affected with Malaria 😊
Himachal Pradesh,24.0,465.8,71,69.5,31.6,19.0,751,45.7,75.3,The person is affected with Malaria 😷
Himachal Pradesh,28.0,497.5,73,6.6,42.4,24.2,1847,49.9,73.8,The person is affected with Malaria 😷
Himachal Pradesh,28.3,99.4,83,3.9,95.8,55.0,1036,84.5,4.4,The person is affected with Malaria 😷
Himachal Pradesh,29.3,153.5,87,92.1,1.8,46.1,1874,79.0,26.7,The person is not affected with Malaria 😊
Himachal Pradesh,23.1,54.6,87,59.6,86.6,49.7,922,90.7,18.7,The person is not affected with Malaria 😊
Himachal Pradesh,21.0,130.3,87,75.4,45.6,71.8,421,15.9,49.7,The person is not affected with Malaria 😊
Himachal Pradesh,27.1,290.4,85,65.7,83.5,6.8,1657,29.9,38.1,The person is affected with Malaria 😷
Himachal Pradesh,35.1,453.4,78,45.6,63.9,94.0,754,47.2,50.4,The person is not affected with Malaria 😊
Himachal Pradesh,35.7,68.3,64,35.6,71.8,36.5,648,11.0,28.3,The person is affected with Malaria 😷
Himachal Pradesh,27.7,413.7,53,17.3,42.6,9.7,240,6.6,15.1,The person is not affected with Malaria 😊
Himachal Pradesh,26.7,376.8,62,89.3,26.3,28.3,1907,60.8,54.3,The person is not affected with Malaria 😊
Himachal Pradesh,30.3,244.9,55,75.8,60.5,93.4,1422,37.2,46.8,The person is affected with Malaria 😷
Himachal Pradesh,24.3,260.2,49,90.3,34.3,6.1,1459,49.5,82.4,The person is not affected with Malaria 😊
Himachal Pradesh,30.5,365.5,78,49.2,8.8,4.8,1866,36.6,0.5,The person is not affected with Malaria 😊
Himachal Pradesh,23.6,454.7,99,32.8,54.1,90.5,225,76.6,49.1,The person is not affected with Malaria 😊
Himachal Pradesh,21.0,326.6,67,62.8,15.2,51.0,762,16.5,76.5,The person is affected with Malaria 😷
Himachal Pradesh,21.0,290.5,84,1.6,47.8,89.4,1012,78.0,89.6,The person is not affected with Malaria 😊
Himachal Pradesh,35.0,239.7,73,18.9,63.5,47.8,1044,85.1,60.1,The person is affected with Malaria 😷
Himachal Pradesh,20.0,145.4,99,31.7,8.3,12.9,1789,2.8,18.1,The person is affected with Malaria 😷
Himachal Pradesh,38.8,326.7,46,26.0,59.2,43.6,1636,0.3,89.3,The person is affected with Malaria 😷
Himachal Pradesh,34.5,434.3,93,50.9,35.6,50.7,1548,60.3,33.0,The person is affected with Malaria 😷
Himachal Pradesh,34.5,170.8,64,7.7,99.1,33.7,1934,89.2,87.2,The person is not affected with Malaria 😊
Himachal Pradesh,24.6,308.4,65,91.5,85.0,49.8,1362,57.5,2.7,The person is affected with Malaria 😷
Himachal Pradesh,34.9,458.0,98,20.5,31.1,52.3,1752,43.1,6.4,The person is not affected with Malaria 😊
Himachal Pradesh,24.9,480.7,94,50.8,85.7,63.8,998,41.7,20.3,The person is affected with Malaria 😷
Himachal Pradesh,26.5,411.5,55,43.2,61.0,66.5,670,22.9,41.1,The person is not affected with Malaria 😊
Himachal Pradesh,21.5,343.8,50,32.2,49.8,21.2,249,95.1,94.4,The person is not affected with Malaria 😊
Himachal Pradesh,36.4,69.4,53,21.0,86.1,83.1,1037,51.0,37.6,The person is not affected with Malaria 😊
Himachal Pradesh,28.1,235.6,93,52.3,51.6,36.2,431,64.4,55.1,The person is not affected with Malaria 😊
Himachal Pradesh,37.5,101.8,47,70.5,35.9,56.3,428,96.1,93.2,The person is not affected with Malaria 😊
Himachal Pradesh,26.3,183.7,47,9.9,91.7,98.4,211,71.5,83.3,The person is not affected with Malaria 😊
Himachal Pradesh,28.6,124.5,86,90.1,59.3,97.4,816,60.8,89.1,The person is not affected with Malaria 😊
Himachal Pradesh,29.9,98.3,100,1.2,17.5,32.1,627,39.6,26.0,The person is not affected with Malaria 😊
Himachal Pradesh,35.2,364.7,77,77.2,97.4,51.1,346,60.8,59.2,The person is not affected with Malaria 😊
Himachal Pradesh,30.8,473.7,49,12.3,41.3,32.9,1362,31.4,89.6,The person is affected with Malaria 😷
Himachal Pradesh,39.9,220.5,76,71.3,43.8,48.0,703,60.4,74.5,The person is affected with Malaria 😷
Himachal Pradesh,28.3,408.2,83,18.3,61.4,58.0,1685,77.5,96.1,The person is affected with Malaria 😷
Himachal Pradesh,34.8,213.4,74,69.0,31.6,82.2,1043,3.7,95.3,The person is not affected with Malaria 😊
Himachal Pradesh,22.0,225.7,48,41.0,6.2,80.7,371,45.4,74.6,The person is not affected with Malaria 😊
Himachal Pradesh,34.9,413.3,66,44.5,84.5,25.0,333,9.2,43.5,The person is affected with Malaria 😷
Himachal Pradesh,37.4,222.8,55,61.6,31.8,81.0,408,45.1,98.5,The person is affected with Malaria 😷
Himachal Pradesh,37.1,268.1,58,92.5,11.0,14.6,912,6.5,65.3,The person is not affected with Malaria 😊
Himachal Pradesh,35.4,128.2,77,65.6,50.2,88.4,837,54.6,44.5,The person is affected with Malaria 😷
Himachal Pradesh,30.1,461.8,82,94.4,6.5,26.0,1423,70.8,22.2,The person is affected with Malaria 😷
Himachal Pradesh,25.4,381.0,61,93.4,96.2,37.0,1083,37.3,90.4,The person is affected with Malaria 😷
Himachal Pradesh,32.0,70.6,53,59.0,20.3,89.6,803,39.5,86.3,The person is affected with Malaria 😷
Jharkhand,25.0,308.4,99,82.5,96.4,32.2,1385,61.8,7.5,The person is not affected with Malaria 😊
Jharkhand,34.4,376.6,83,29.1,52.0,6.4,686,83.6,16.2,The person is not affected with Malaria 😊
Jharkhand,28.7,486.0,46,22.2,65.5,40.4,1677,48.3,50.1,The person is affected with Malaria 😷
Jharkhand,28.7,380.8,96,53.7,57.5,69.9,886,4.8,24.3,The person is affected with Malaria 😷
Jharkhand,21.7,293.5,57,41.0,42.0,95.9,229,26.9,18.9,The person is not affected with Malaria 😊
Jharkhand,21.2,129.3,88,83.6,19.8,61.5,767,28.5,42.7,The person is not affected with Malaria 😊
Jharkhand,33.3,484.2,51,8.0,13.0,5.1,732,64.9,71.2,The person is affected with Malaria 😷
Jharkhand,21.4,61.1,43,0.4,10.4,6.1,321,17.1,1.0,The person is not affected with Malaria 😊
Jharkhand,32.2,256.0,50,52.0,35.8,29.5,1727,34.4,77.0,The person is affected with Malaria 😷
Jharkhand,27.6,366.1,70,46.9,60.5,51.1,1217,72.7,35.9,The person is affected with Malaria 😷
Jharkhand,34.0,146.3,100,48.0,86.8,53.9,1846,59.1,55.4,The person is not affected with Malaria 😊
Jharkhand,37.4,186.6,71,11.5,47.3,77.9,1369,89.4,55.5,The person is affected with Malaria 😷
Jharkhand,25.3,233.6,86,51.4,57.2,0.7,1285,0.4,8.0,The person is affected with Malaria 😷
Jharkhand,22.3,228.5,51,20.6,11.2,74.1,565,69.9,1.3,The person is affected with Malaria 😷
Jharkhand,25.0,362.0,82,39.6,77.0,0.7,203,21.3,2.6,The person is not affected with Malaria 😊
Jharkhand,29.5,196.9,67,81.1,21.5,60.0,1955,72.0,77.7,The person is affected with Malaria 😷
Jharkhand,26.3,390.8,68,38.4,15.4,4.9,959,83.8,28.0,The person is affected with Malaria 😷
Jharkhand,35.6,323.4,83,44.5,76.0,10.8,264,18.3,20.7,The person is affected with Malaria 😷
Jharkhand,26.9,166.7,97,25.6,42.8,66.6,1656,31.3,76.8,The person is affected with Malaria 😷
Jharkhand,28.0,135.8,69,13.2,1.6,71.7,134,80.8,56.6,The person is not affected with Malaria 😊
Jharkhand,20.9,422.5,51,22.8,31.5,62.1,592,86.8,97.6,The person is not affected with Malaria 😊
Jharkhand,36.2,347.1,89,94.4,4.5,83.5,480,89.5,16.6,The person is affected with Malaria 😷
Jharkhand,22.7,165.0,69,61.6,87.1,1.1,336,91.0,41.7,The person is affected with Malaria 😷
Jharkhand,28.5,81.8,43,79.4,95.0,6.2,1691,80.2,91.0,The person is affected with Malaria 😷
Jharkhand,28.8,248.9,41,94.0,24.0,43.7,1780,29.4,7.0,The person is affected with Malaria 😷
Jharkhand,27.1,202.2,59,66.8,80.5,46.5,1126,71.3,50.7,The person is affected with Malaria 😷
Jharkhand,25.9,277.8,95,36.8,55.6,39.7,815,83.1,58.6,The person is not affected with Malaria 😊
Jharkhand,34.0,169.6,97,67.6,40.9,47.4,1605,24.5,39.3,The person is affected with Malaria 😷
Jharkhand,31.5,95.9,47,96.8,4.0,39.3,1469,1.0,77.4,The person is not affected with Malaria 😊
Jharkhand,27.2,318.9,80,37.4,83.9,77.7,1057,91.5,89.5,The person is not affected with Malaria 😊
Jharkhand,21.2,56.1,62,11.4,52.5,53.8,1820,24.9,38.6,The person is not affected with Malaria 😊
Jharkhand,24.5,308.4,93,93.0,59.9,15.0,1131,84.3,91.2,The person is affected with Malaria 😷
Jharkhand,26.5,54.9,95,21.1,2.6,20.5,748,62.2,84.4,The person is not affected with Malaria 😊
Jharkhand,35.7,216.6,59,4.8,7.9,91.1,105,49.9,52.1,The person is affected with Malaria 😷
Jharkhand,33.4,309.4,67,65.8,32.2,0.6,816,7.1,7.3,The person is not affected with Malaria 😊
Jharkhand,22.8,450.8,55,98.0,24.1,51.0,308,62.4,14.1,The person is not affected with Malaria 😊
Jharkhand,24.7,422.5,78,61.4,84.2,25.8,1212,81.6,9.6,The person is not affected with Malaria 😊
Jharkhand,32.5,480.7,60,34.1,39.2,58.8,438,39.1,64.5,The person is affected with Malaria 😷
Jharkhand,21.7,92.0,70,18.4,85.4,92.8,596,11.5,48.6,The person is not affected with Malaria 😊
Jharkhand,24.3,152.9,87,62.0,50.1,30.9,1751,4.8,15.2,The person is affected with Malaria 😷
Jharkhand,23.5,205.8,70,1.7,66.3,63.7,1707,57.5,78.1,The person is not affected with Malaria 😊
Jharkhand,22.1,392.1,85,72.2,2.7,47.2,519,59.7,38.2,The person is affected with Malaria 😷
Jharkhand,24.0,433.0,40,29.4,28.3,75.3,899,68.2,46.6,The person is not affected with Malaria 😊
Jharkhand,33.0,284.2,79,85.1,44.8,99.0,271,6.5,25.8,The person is affected with Malaria 😷
Jharkhand,33.5,311.2,61,1.2,16.7,35.9,1373,71.9,28.1,The person is not affected with Malaria 😊
Jharkhand,30.8,285.9,71,83.8,14.2,75.3,348,87.1,22.9,The person is not affected with Malaria 😊
Jharkhand,24.1,378.8,79,98.0,68.6,86.4,1819,51.4,53.1,The person is not affected with Malaria 😊
Jharkhand,22.2,76.1,92,75.6,83.2,31.5,581,31.6,61.4,The person is not affected with Malaria 😊
Jharkhand,23.3,486.2,45,66.5,51.3,58.8,1790,22.7,64.1,The person is not affected with Malaria 😊
Jharkhand,25.4,359.7,94,39.5,70.3,93.7,1785,3.4,34.8,The person is affected with Malaria 😷
Jharkhand,38.2,491.8,78,87.8,48.3,66.9,219,37.7,12.8,The person is affected with Malaria 😷
Jharkhand,33.0,383.9,63,71.2,80.9,86.0,808,29.3,15.6,The person is not affected with Malaria 😊
Jharkhand,37.9,397.6,89,98.6,52.4,64.4,681,26.6,42.5,The person is affected with Malaria 😷
Jharkhand,21.0,174.6,76,45.7,43.0,38.8,1528,80.8,36.2,The person is affected with Malaria 😷
Jharkhand,29.2,253.6,71,1.0,99.4,61.8,875,67.8,84.4,The person is not affected with Malaria 😊
Jharkhand,32.5,196.5,41,95.4,2.2,79.4,151,53.2,27.7,The person is not affected with Malaria 😊
Jharkhand,23.5,420.0,41,82.4,35.4,85.9,1303,76.3,58.3,The person is affected with Malaria 😷
Jharkhand,24.3,364.5,60,25.7,70.6,85.0,594,37.6,4.3,The person is not affected with Malaria 😊
Jharkhand,38.3,261.8,97,52.7,23.6,49.3,140,12.5,75.3,The person is not affected with Malaria 😊
Jharkhand,21.9,70.9,57,25.7,76.7,13.8,1240,84.4,32.9,The person is affected with Malaria 😷
Jharkhand,27.3,206.8,68,33.5,43.2,44.8,779,62.3,81.5,The person is not affected with Malaria 😊
Jharkhand,31.0,334.0,62,7.6,60.3,97.1,149,10.4,27.6,The person is not affected with Malaria 😊
Jharkhand,33.5,254.7,50,41.8,80.6,57.7,1541,32.5,1.1,The person is not affected with Malaria 😊
Jharkhand,29.6,154.1,82,32.7,61.9,54.1,929,30.1,70.7,The person is affected with Malaria 😷
Jharkhand,38.8,192.2,74,46.3,7.3,4.6,1039,20.3,66.3,The person is affected with Malaria 😷
Jharkhand,33.9,498.1,78,80.9,31.2,38.3,1211,28.3,49.0,The person is not affected with Malaria 😊
Jharkhand,34.5,315.5,100,75.4,30.7,6.9,1957,26.4,22.5,The person is not affected with Malaria 😊
Jharkhand,31.9,263.8,99,3.7,73.8,28.9,656,82.9,94.8,The person is affected with Malaria 😷
Jharkhand,26.5,103.1,76,40.7,1.7,7.3,1678,51.6,41.6,The person is not affected with Malaria 😊
Jharkhand,38.5,491.2,58,77.2,93.5,92.6,1775,91.9,76.6,The person is not affected with Malaria 😊
Karnataka,27.9,91.1,77,2.8,51.1,46.5,660,92.2,18.5,The person is affected with Malaria 😷
Karnataka,30.1,372.7,64,5.0,74.4,55.8,1393,57.4,63.1,The person is not affected with Malaria 😊
Karnataka,35.4,279.8,99,74.9,9.3,57.8,1216,8.8,30.9,The person is affected with Malaria 😷
Karnataka,31.5,452.5,87,28.9,55.5,76.8,753,59.6,71.8,The person is not affected with Malaria 😊
Karnataka,29.5,152.3,51,27.7,38.8,37.0,1672,90.7,34.2,The person is not affected with Malaria 😊
Karnataka,22.4,286.2,95,38.4,15.9,8.2,813,2.5,61.5,The person is not affected with Malaria 😊
Karnataka,31.8,413.1,47,3.4,5.3,0.8,1166,62.5,32.3,The person is not affected with Malaria 😊
Karnataka,22.0,113.0,55,91.0,13.7,50.1,1927,22.8,63.6,The person is affected with Malaria 😷
Karnataka,32.6,367.9,98,90.8,24.3,30.8,1600,42.6,66.8,The person is not affected with Malaria 😊
Karnataka,33.3,318.8,51,98.2,44.3,28.4,1943,73.4,72.0,The person is not affected with Malaria 😊
Karnataka,33.3,62.1,45,70.9,96.3,70.8,1191,54.0,54.1,The person is not affected with Malaria 😊
Karnataka,39.4,175.8,62,34.8,74.4,7.9,1110,61.4,99.2,The person is not affected with Malaria 😊
Karnataka,25.7,251.7,57,16.7,78.6,16.2,722,79.7,28.3,The person is affected with Malaria 😷
Karnataka,31.7,293.4,97,64.4,44.5,73.3,1004,7.2,38.6,The person is not affected with Malaria 😊
Karnataka,22.6,309.9,63,95.5,4.6,1.5,621,61.5,58.3,The person is affected with Malaria 😷
Karnataka,34.5,317.9,78,20.8,24.7,52.9,1328,66.0,16.7,The person is not affected with Malaria 😊
Karnataka,23.9,330.8,99,90.6,1.4,5.2,789,48.6,23.4,The person is not affected with Malaria 😊
Karnataka,21.4,316.8,44,12.7,51.3,11.6,546,77.4,9.4,The person is not affected with Malaria 😊
Karnataka,30.6,156.4,91,11.7,13.1,1.0,1996,58.3,23.8,The person is not affected with Malaria 😊
Karnataka,22.1,368.2,89,43.7,61.8,69.2,1460,33.5,84.0,The person is affected with Malaria 😷
Karnataka,26.0,69.3,83,10.0,77.5,6.3,747,75.9,77.4,The person is affected with Malaria 😷
Karnataka,28.0,138.7,65,93.3,6.3,78.7,814,21.6,47.6,The person is affected with Malaria 😷
Karnataka,36.1,52.2,86,73.1,70.9,6.0,1652,91.8,10.5,The person is affected with Malaria 😷
Karnataka,38.9,138.1,85,85.1,69.1,94.2,969,57.3,60.0,The person is not affected with Malaria 😊
Karnataka,39.0,286.0,66,86.9,82.6,53.0,1080,40.8,66.7,The person is not affected with Malaria 😊
Karnataka,26.5,305.8,63,6.6,69.1,20.9,1901,34.0,9.8,The person is not affected with Malaria 😊
Karnataka,32.0,265.0,98,11.2,68.9,28.5,315,98.6,0.3,The person is affected with Malaria 😷
Karnataka,20.1,363.6,68,78.0,43.1,76.7,482,12.5,44.5,The person is affected with Malaria 😷
Karnataka,27.2,329.4,54,21.2,63.6,84.7,1852,59.0,72.2,The person is not affected with Malaria 😊
Karnataka,36.0,126.0,91,96.4,8.4,48.2,987,67.6,45.6,The person is affected with Malaria 😷
Karnataka,33.6,64.2,75,58.1,8.2,62.7,670,66.8,72.1,The person is affected with Malaria 😷
Karnataka,21.0,166.1,65,90.9,67.9,77.0,1580,63.9,72.3,The person is not affected with Malaria 😊
Karnataka,27.2,323.9,52,1.6,77.0,64.9,1375,5.9,9.4,The person is not affected with Malaria 😊
Karnataka,27.2,386.6,84,84.8,12.1,31.8,1896,94.9,87.6,The person is not affected with Malaria 😊
Karnataka,29.0,177.4,96,73.3,9.1,74.3,802,48.0,32.6,The person is not affected with Malaria 😊
Karnataka,33.0,477.6,89,66.9,27.1,8.4,1595,6.3,6.5,The person is not affected with Malaria 😊
Karnataka,26.2,411.3,49,74.5,62.4,13.7,1646,48.7,39.4,The person is affected with Malaria 😷
Karnataka,27.0,58.7,85,65.2,59.0,56.8,719,19.9,73.8,The person is affected with Malaria 😷
Karnataka,37.4,469.8,40,28.0,40.0,27.4,826,39.9,22.4,The person is affected with Malaria 😷
Karnataka,36.4,323.9,49,30.1,29.3,39.7,974,13.2,50.1,The person is affected with Malaria 😷
Karnataka,22.4,257.3,40,11.7,40.3,4.4,1397,64.4,57.6,The person is not affected with Malaria 😊
Karnataka,22.8,91.9,55,89.3,54.8,64.7,1067,84.2,97.2,The person is not affected with Malaria 😊
Karnataka,33.4,204.7,86,92.8,10.8,59.1,1383,87.6,19.9,The person is affected with Malaria 😷
Karnataka,25.2,464.1,43,76.8,35.0,44.3,1871,62.5,99.5,The person is affected with Malaria 😷
Karnataka,22.5,77.0,51,19.8,17.9,15.3,452,63.8,54.1,The person is affected with Malaria 😷
Karnataka,35.1,447.8,55,11.1,30.2,75.9,1058,27.1,48.1,The person is not affected with Malaria 😊
Karnataka,26.4,117.1,48,99.6,70.8,71.0,996,61.6,44.5,The person is affected with Malaria 😷
Karnataka,22.6,472.4,94,61.2,96.4,4.1,1447,39.4,55.5,The person is not affected with Malaria 😊
Karnataka,22.8,430.5,74,13.2,99.6,54.0,625,10.8,65.1,The person is not affected with Malaria 😊
Karnataka,34.1,300.8,76,80.4,12.0,31.2,646,44.6,53.2,The person is not affected with Malaria 😊
Karnataka,21.5,430.8,50,57.6,80.9,89.9,512,54.9,17.2,The person is not affected with Malaria 😊
Karnataka,34.8,95.7,99,67.2,42.7,86.7,1488,65.3,76.0,The person is not affected with Malaria 😊
Karnataka,31.5,301.3,55,16.5,1.2,91.2,520,80.5,82.1,The person is not affected with Malaria 😊
Karnataka,33.1,388.5,80,48.0,23.2,31.9,776,20.6,88.9,The person is affected with Malaria 😷
Karnataka,35.6,145.5,50,6.4,62.6,27.4,944,81.9,49.4,The person is not affected with Malaria 😊
Karnataka,26.4,249.2,66,82.4,66.7,95.4,787,68.6,79.2,The person is not affected with Malaria 😊
Karnataka,32.4,309.5,87,48.0,16.9,45.2,1724,32.0,36.3,The person is not affected with Malaria 😊
Karnataka,32.3,449.6,71,81.0,61.6,82.6,1722,95.1,23.5,The person is affected with Malaria 😷
Karnataka,36.1,293.4,81,77.0,91.6,61.5,1079,2.1,97.1,The person is affected with Malaria 😷
Karnataka,25.6,294.2,87,79.5,13.4,67.6,103,47.3,5.4,The person is affected with Malaria 😷
Karnataka,27.8,275.6,68,14.3,65.5,26.6,1634,82.8,56.5,The person is affected with Malaria 😷
Karnataka,24.1,348.0,46,98.9,33.0,18.8,1621,35.8,34.1,The person is affected with Malaria 😷
Karnataka,38.7,366.9,72,23.0,43.4,22.0,993,49.4,81.6,The person is affected with Malaria 😷
Karnataka,35.4,120.4,91,70.3,24.5,80.1,1530,6.0,29.5,The person is affected with Malaria 😷
Karnataka,20.3,332.4,87,92.0,91.3,38.7,727,33.0,14.5,The person is affected with Malaria 😷
Karnataka,35.6,265.1,85,48.9,34.0,26.3,233,74.3,77.1,The person is affected with Malaria 😷
Karnataka,24.4,50.6,67,42.3,71.4,4.7,1690,18.2,31.7,The person is not affected with Malaria 😊
Karnataka,21.4,474.6,47,72.3,96.0,66.1,371,64.0,62.9,The person is affected with Malaria 😷
Karnataka,25.1,364.5,59,98.4,10.1,7.3,1322,69.7,21.1,The person is not affected with Malaria 😊
Karnataka,36.3,297.7,84,28.7,31.8,92.6,1769,27.6,3.3,The person is affected with Malaria 😷
Karnataka,27.3,134.2,58,31.1,10.7,16.8,746,1.7,84.9,The person is not affected with Malaria 😊
Karnataka,33.2,455.4,44,91.4,21.1,79.4,1389,37.5,46.9,The person is not affected with Malaria 😊
Karnataka,30.4,398.5,87,18.6,77.6,20.4,1631,70.9,84.3,The person is affected with Malaria 😷
Karnataka,28.3,469.9,45,14.8,40.4,44.6,1134,73.7,82.4,The person is not affected with Malaria 😊
Kerala,33.8,142.7,99,21.0,84.6,61.9,1972,70.9,44.1,The person is affected with Malaria 😷
Kerala,20.1,70.1,65,69.5,72.0,26.3,742,43.2,47.7,The person is not affected with Malaria 😊
Kerala,30.8,137.3,68,8.9,81.6,79.2,354,24.4,31.5,The person is not affected with Malaria 😊
Kerala,36.7,196.5,54,49.7,33.4,56.1,171,75.5,63.1,The person is not affected with Malaria 😊
Kerala,38.8,433.3,45,77.3,47.2,89.9,992,54.7,67.7,The person is affected with Malaria 😷
Kerala,21.5,246.4,71,16.0,96.7,77.2,1711,88.3,12.8,The person is not affected with Malaria 😊
Kerala,30.8,188.9,88,57.9,39.0,88.2,1828,56.9,88.7,The person is not affected with Malaria 😊
Kerala,20.7,329.5,54,47.7,98.3,11.5,128,58.2,44.2,The person is not affected with Malaria 😊
Kerala,22.9,79.5,81,72.7,38.8,49.1,1468,71.4,4.3,The person is affected with Malaria 😷
Kerala,34.5,213.2,98,0.9,24.2,68.4,1867,64.2,59.0,The person is not affected with Malaria 😊
Kerala,27.8,80.5,46,85.2,25.9,49.0,217,90.2,1.2,The person is affected with Malaria 😷
Kerala,29.6,193.2,64,23.0,96.3,50.4,437,71.3,47.4,The person is affected with Malaria 😷
Kerala,24.1,91.8,67,54.0,53.9,46.5,553,65.1,44.4,The person is affected with Malaria 😷
Kerala,35.3,101.4,61,23.0,36.7,66.0,224,98.1,42.9,The person is not affected with Malaria 😊
Kerala,29.2,158.1,53,30.6,86.3,97.7,1221,34.3,22.3,The person is not affected with Malaria 😊
Kerala,29.4,67.2,50,12.1,81.9,56.3,1292,76.1,9.2,The person is affected with Malaria 😷
Kerala,32.6,399.9,81,95.2,98.7,92.8,1444,50.9,83.7,The person is not affected with Malaria 😊
Kerala,29.4,234.5,61,85.1,3.4,59.8,928,6.7,42.0,The person is affected with Malaria 😷
Kerala,37.3,338.1,60,25.8,19.0,32.3,407,4.9,56.3,The person is affected with Malaria 😷
Kerala,31.5,402.8,48,7.2,63.6,78.9,1976,64.9,37.0,The person is affected with Malaria 😷
Kerala,33.9,315.4,61,16.0,21.1,77.1,1010,21.3,0.9,The person is affected with Malaria 😷
Kerala,37.8,410.1,60,73.1,76.2,7.6,145,94.6,51.6,The person is not affected with Malaria 😊
Kerala,39.6,230.0,42,99.7,35.7,55.7,631,45.9,95.5,The person is not affected with Malaria 😊
Kerala,22.6,410.8,89,48.8,4.1,81.0,1052,16.1,34.0,The person is affected with Malaria 😷
Kerala,28.1,301.8,71,34.5,29.1,67.2,166,40.0,1.3,The person is affected with Malaria 😷
Kerala,21.4,307.3,93,49.2,87.4,22.3,196,21.4,9.7,The person is affected with Malaria 😷
Kerala,20.4,212.6,93,75.0,54.4,26.5,1867,99.6,74.8,The person is affected with Malaria 😷
Kerala,29.2,113.4,64,8.6,6.4,62.6,799,76.5,42.5,The person is not affected with Malaria 😊
Kerala,31.2,268.1,86,50.3,25.6,98.9,1603,26.4,3.5,The person is affected with Malaria 😷
Kerala,39.3,245.4,56,11.0,49.6,93.2,415,60.1,92.7,The person is not affected with Malaria 😊
Kerala,25.4,376.6,63,37.1,41.9,27.3,1000,76.6,40.6,The person is not affected with Malaria 😊
Kerala,34.5,162.5,97,65.4,5.9,88.4,954,10.6,50.5,The person is affected with Malaria 😷
Kerala,39.2,265.7,67,76.6,39.1,4.1,1318,69.1,71.3,The person is affected with Malaria 😷
Kerala,32.0,86.3,61,70.0,13.1,93.2,913,34.1,66.5,The person is not affected with Malaria 😊
Kerala,30.0,111.4,97,85.8,48.4,45.3,1373,61.8,54.4,The person is affected with Malaria 😷
Kerala,29.1,410.8,62,36.3,76.8,13.8,530,85.5,12.3,The person is not affected with Malaria 😊
Kerala,36.5,283.5,89,67.0,6.9,35.4,1620,56.6,91.0,The person is not affected with Malaria 😊
Kerala,27.3,315.6,41,10.7,32.4,44.6,225,79.1,89.2,The person is not affected with Malaria 😊
Kerala,32.9,249.8,75,8.5,36.3,57.6,1991,48.0,18.2,The person is affected with Malaria 😷
Kerala,34.8,161.2,74,64.7,95.9,29.6,254,9.7,56.9,The person is not affected with Malaria 😊
Kerala,20.6,304.9,97,32.6,78.8,95.9,296,28.2,37.9,The person is not affected with Malaria 😊
Kerala,26.0,389.3,98,19.5,90.9,40.4,563,42.8,90.2,The person is not affected with Malaria 😊
Kerala,24.6,379.0,96,47.8,57.9,32.5,1602,62.6,39.6,The person is not affected with Malaria 😊
Kerala,33.3,208.8,57,53.7,85.6,49.2,429,40.9,21.6,The person is affected with Malaria 😷
Kerala,32.9,81.6,83,84.3,72.8,69.9,320,35.5,27.8,The person is affected with Malaria 😷
Kerala,34.6,94.0,96,5.8,59.5,92.2,1779,75.4,58.5,The person is affected with Malaria 😷
Kerala,22.3,212.1,83,45.6,68.2,55.1,1274,60.8,81.2,The person is affected with Malaria 😷
Kerala,26.5,443.8,56,23.3,62.0,14.9,1169,62.3,46.8,The person is affected with Malaria 😷
Kerala,30.4,79.7,50,49.1,4.6,49.6,1726,88.7,17.1,The person is affected with Malaria 😷
